storeName,reviewerUsername,ratingDate,reviewHeader,reviewText,rating
Mat 99,733jeppeh,"January 20, 2018",Very nice concept,The concept was very nice- beer for 15 euro in 2 hours. But they closed 2 hours before they said they would,3
Akiba Sushi & Wok,pederson11111,"July 9, 2018",Really not very good,Wanted to try a different place for our weekly sushi day but unfortunately terrible service with unjustified extra 30 min wait as well as sub par quality sushi and not enough ginger for the size of order. When forwarding our criticisms we were met with “Yes! but we are very bu ,2
Akiba Sushi & Wok,IbenGwenTollan,"September 30, 2017",Terrible service,"Sad to say i find the service almost unacceptable. The treatment was not good, the food was just, ok, nothing special and the forgot our side dishes, even though we asked for them several times. I cannot recommend this place.",1
Venus Pizzeria,Voyage779962,"March 23, 2019",Worst experience ever!,Ordered 3 pizzas to go and ended up having to go back 3 times as they couldn’t get them done in time. Nobody else waiting but is still took them 45 minutes to make three pizzas!!! Go somewhere else. This place does not deserve to continue business with this poor quality of service,1
Venus Pizzeria,kumarsourabh,"June 12, 2017",Good Asian Food,"Small and cozy place. Food is good and price are reasonable.
Service here is good too. The place is near to Valby Train Station.",3
Venus Pizzeria,Sohaib R,"April 22, 2016",Very poor service... unprofessional staff..,"We ordered 4 pizzas and they were so unprofessional, very bad experience with following thin ",1
Venus Pizzeria,James S,"January 31, 2016",Used to be amazing now is not,"This used to be a hidden gem - perfect indian food hidden behind a pizzeria. However, things have changed in the past year. The food is no longer good - lacking flavor and the chicken appears to be poor quality. First bad experience I thought was an anomaly but the second wasn't. My friends have also noticed the same downhill change. What a shame.",2
Venus Pizzeria,Lars P,"November 19, 2014",Indian food and specialites from Punjab Province,"The name of the place is Venus Pizzeria, and indeed just inside the door, you can order pizzas and other take awa ",3
Popl,foody98760,"April 21, 2021",Fishburgers are very greezy and had fat all over my hand,I went there a second time for the fish burger in the hope it would be better than my first experience but no. I am not impressed. The fishburger is even more expensive than the cheeseburger and the bun was literally soaked up with greeze. And there is no toilet to go to but they are selling drinks. Staff is unfriendly when pointing this out.,1
Popl,Vinnie911,"April 18, 2021",Greasy and salty. ,"Greasy, salty, awful pickle mayo, tasteless burger (except the salt). I do not recommend this place.",1
Popl,18081808180,"April 17, 2021",Disappointing,A disappointing visit that we had been looking forward to. Very salty and greezy burger lacking taste (except salt). Not worth a visit.,1
Popl,Living_in_cph,"March 29, 2021","Exceeding fatty dripping, way to salty and a bit disgusting",Picked up for lunch because it is so popular. Got quite disappointed. I had a hard time holding it in hands as buns were soaked with fat and the meat was way too raw and salty. Same goes for fries and strangely for the dip. Perhaps or it is best to eat it for a hangover - almost can match a McDonald’s if you are into that. At least most teenagers are.,1
Popl,nikolajCSH,"March 24, 2021",Great burger!,"Tried the burger a few weeks ago. And what an experience! One of, if not the best burger I have ever tried. The fries are not as good. Buy the burger and nothing els, and give your tastebuds a fantasticley diverse experience.
Enjoy",4
Popl,oneredpanther,"February 22, 2021","Unremarkable, Unpalatable, and Overpriced.","Like everyone else, I'd heard the hype about the 'Noma Burger' and was keen to experience it for myself. Unfortunately the experience fell markedly short of expectations and I was left wondering whether I'd been scamme ",2
Popl,burgerboy666,"January 22, 2021",Pre ordered on line and had,"Pre ordered on line and had the Cheeseburger and fried for 160dk (£22/€25) and I was really looking forward to this as I have eaten in most places in Copenhagen and also travelled the world eating the best burgers in town and so this was well up on my list to try. So collected it no problems and the order was ready in 3 minutes so no complaints there, I went and found a bench to sit in and started my journey!! The fries were poor and double dipped but lacked and needed truffle salt on and weren’t that hot either, the OK, strong taste of pepper immediately hit my taste buds, very dry and overall lacked something and when I got half way through I was bored and ended up giving the bread to a pigeon so overall not great, but I am spoilt and I use the gasoline grill a lot and so I compared this to the GG and it lost the battle straight away, my friend has the Vegan burger and he said it was great, but overall I was expected a hell of a lot more, but try it and see yourself as maybe I just had a bad one! Cheers ",2
Popl,130mikelg,"December 12, 2020","The burger was lacking taste,","The burger was lacking taste, and the beef was only cooked on one side, which made the beef paddy burn ",2
Popl,foody98760,"December 5, 2020","Fantastic burgers, sides and dessert less so","Literally the best burger I have ever had. However having said this, the fries and other sides were not good and I wouldn’t order them again as they were too pricey for what they are. Fries were soaked in oil, the fermented chilies simply nothing special and the cookie as a dessert was again nothing too remember. I will come again but next time just have the burger. Also we had four different waiters and it appears they need some better coordination among each other. They also had an attitude when we said we would like to pay separately and have suggested if we could mobilepay among each other. When we said this wasn’t possible they made a super annoyed face! ",3
Okawari Sushi,Charlottepo123,"January 11, 2020",Meget dårligt,For det første var der frygteligt koldt- vi endte med at sidde med jakker på indenfo ,1
Okawari Sushi,l0pel0pe,"October 8, 2019",Skuffet,"Virkelig skuffet. Jeg bestilte 36 stk sushi for knap 300 kroner - takeaway. Så forventer jeg altså også, at kvaliteten matcher prisen. Men det gjorde den absolut ikke. Vi fik 36 slatne og ekstremt små stykker sushi. Vi fik heller ikke nok soya, så det skal man være forberedt på at man skal have selv på forhånd. Sushi'en virkede heller ikke særlig frisk. Jeg plejer at være meget mæt, når jeg deler 36 stk med én anden, men jeg sidder tilbage, efter at have spist Okawari, uden at være mæt og klar til mere mad. Øv, sikken skuffelse. Her bestiller jeg ikke fra igen. Ud over det forsøgte jeg at finde frem til en mail, så jeg kunne klage, men det findes heller ikk ",2
Okawari Sushi,Mieduus,"August 7, 2019",Super fin og frisk sushi,"Sushi all you can eat: Enormt sød betjening, lækker og frisk sushi til en god pris samt et bredt udvalg af drikkevarer fx flere japanske ø ",4
Okawari Sushi,Soelvraeven,"March 31, 2019",Udemærket sushi,Fint lille sushi-sted på Finsensvej tæt på Metro ,3
Okawari Sushi,Jacoob R,"September 24, 2018",Slatten sushi,"Nyåbnet sushi sted. Nervøs, men hurtig betjening. All-you-can-eat kun 3 ombæringer. Ris til både nigiri og ruller var noget slatten. Tilskrives dog begynder vanskeligheder.",3
Guldgrillen,Morten P,"November 4, 2020",Is only okay,"They serve a really really good roast pork sandwich. But, the place is not so cozy in my opinion and there was a poor choice of beverage.",3
Guldgrillen,Henrik N,"December 8, 2019",Delicious roast pork sandwich,This place is like a time machine 30-40 years back in time. Music food and decor like in grandmothers kitchen. The food was delicious. Bring cash or mobilepay as they dont accept credit cards,4
Guldgrillen,joelob22,"September 7, 2019","Slow and poor service, poor ventilation. Smells like rotten beer inside.","Nothing remarkable about this place. 
We went to istegade for another great flaeskestegs sandwich shop the next day and it was much better.",1
Guldgrillen,219veronikak,"August 25, 2019",Very good burgers,We have ordered a rosted pork burger and a beef burger and both were delicious! The sauce was very tasty! The place is very well recomended!,5
Guldgrillen,debbiet918,"June 23, 2019",Fail!,No English menu and they don’t take credit cards!  I guess they don’t like to serve tourists. We ate elsewhere!,1
Guldgrillen,Karcar8,"April 7, 2019",So Good Hygge Food!,"Oldschool decor at it’s best. “Fastfood” like when I was a kid. You Can really get your belly full on their Flæskestegs sandwich (and I didn’t even go for the gravy)
Very easy hang out feeling- just fab for a lazy Sunday",4
Guldgrillen,sebbe797,"November 23, 2018",Guldgrillen is a real gem,You can get fantastic pork and duck sandwiches for a reasonable price. Good service and super cozy. If you are looking for really delicious danish food you should definitely go to guldgrillen.,4
Brod Vaerten,Karen Kragesand T,"October 30, 2019",Gammelt brød,"Købte en sandwich - og ja, den var frisksmurt men brødet var tørt og smagte gammelt - bestemt ikke 43 kr værd",1
