storeName,storeAddress,avgRating,nrReviews,priceCategory,CousineType,Rank
Banana Joe,"Elmegade 18, Copenhagen 2200 Denmark",4.5,441,$,"['American', 'Fast Food', 'Vegetarian Friendly']",#23
Trattoria SUD,"Frederiksborggade 27 Close to Nørreport station and Israels Plads, Copenhagen 1360 Denmark",4.5,482,$$ - $$$,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",#24
Mielcke & Hurtigkarl,"Fr.Berg Runddel 1, Frederiksberg, Copenhagen 2000 Denmark",4.5,278,$$$$,"['International', 'European', 'Contemporary']",#2
Cafe Patina,"Mysundegade 26 Tæt på metro station Enghave Plads, Copenhagen 1668 Denmark",4.5,126,$$ - $$$,"['Mediterranean', 'European', 'Greek']",#25
Restaurant Schonnemann,"Haydee Plads 16-28, Copenhagen 1127 Denmark",4.5,209,$$ - $$$,"['Scandinavian', 'Danish', 'Gluten Free Options']",#26
Husmann's Vinstue,"Larsbjoernsstraede 2, Copenhagen 1454 Denmark",4.5,292,$$ - $$$,"['European', 'Scandinavian', 'Danish']",#27
Restaurant leaven,"Ny Adelgade 4, Copenhagen 1104 Denmark",4.5,347,$$$$,"['French', 'Seafood', 'Wine Bar']",#28
The Red Box,"Store Kongensgade 42, Copenhagen 1264 Denmark",4.5,535,$$ - $$$,"['French', 'Asian', 'Fusion']",#29
Restaurant Gronnegade,"Groennegade 39, Copenhagen 1107 Denmark",4.5,593,$$$$,"['Seafood', 'Scandinavian', 'Danish']",#30
Studio - The Standard,"Havnegade 44, Copenhagen 1058 Denmark",4.5,466,$$$$,"['European', 'Scandinavian', 'Danish']",#31
Kong Hans Kaelder,"Vingaardstraede 6, Copenhagen 1070 Denmark",4.5,301,$$$$,"['French', 'European', 'Scandinavian']",#32
Basso København,"Dronningens Tvaergade 22, Copenhagen 1302 Denmark",4.5,495,$$ - $$$,"['Italian', 'European', 'Vegetarian Friendly']",#33
Høst,"Noerre Farimagsgade 41, Copenhagen 1364 Denmark",4.5,"2,196",$$$$,"['Contemporary', 'Healthy', 'Scandinavian']",#34
