username,location,joined,nrContributions,nrReviews,nrUpvotes,nrFollowers,followers,nrFollowing,following
AriShine,,Joined in Sep 2016,451,209,49,0,[],0,[]
psh70,"Dublin, Ireland",Joined in Jun 2016,21,21,10,0,[],0,[]
laorenjia,"Hong Kong, China",Joined in Jun 2016,93,58,60,0,[],0,[]
BurdBains,"Berlin, Germany",Joined in Sep 2014,5,5,2,0,[],0,[]
bj_rnb420,"Paris, France",Joined in May 2013,39,28,9,1,['MrFizz'],0,[]
Malak_alamer,"Lausanne, Switzerland",Joined in Aug 2015,26,14,6,0,[],0,[]
manaaal355,"Abu Dhabi, United Arab Emirates",Joined in Jul 2015,1,1,0,0,[],0,[]
joshuar62,"Los Angeles, California",Joined in Jun 2014,8,7,3,0,[],0,[]
rockyala,"Dublin, Ireland",Joined in Jun 2013,432,311,152,4,"['Srilanka_Travel', 'feastandtravel', 'tanzaniafocus', 'Reagan10']",2,"['ringtravel_al', 'Reagan10']"
musicfoodtravellove,"Orlando, Florida",Joined in Nov 2015,19,7,3,1,['BradleyFL'],3,"['734patriciap', 'BradleyFL', 'kristenkiss']"
Merce1987,,Joined in Sep 2015,7,7,6,0,[],0,[]
cculligan,"Greater London, United Kingdom",Joined in May 2017,1,1,0,0,[],0,[]
bbbbbbbbbbbilly,"Oslo, Norway",Joined in Jun 2011,220,142,45,0,[],0,[]
ninaivanovic1997,"Geneva, Switzerland",Joined in Apr 2017,13,13,4,0,[],0,[]
thomasn357,"Tilst, Arhus, Denmark",Joined in Jul 2013,46,17,5,0,[],0,[]
573sigmundv,"Oslo, Norway",Joined in Feb 2015,6,6,0,0,[],0,[]
leifkarlsson,"Stockholm, Sweden",Joined in Aug 2009,2,2,2,0,[],0,[]
keisarinna,helsinki,Joined in Jul 2014,33,29,10,1,['MirkaS20'],0,[]
RomanovTraveller,"Amersham, United Kingdom",Joined in Mar 2015,122,119,96,0,[],0,[]
samleaster87,,Joined in Mar 2017,4,4,2,0,[],0,[]
737linnn,"Gothenburg, Sweden",Joined in Jul 2010,156,19,3,0,[],0,[]
niknpatel,"Nairobi, Kenya",Joined in Jun 2008,156,148,85,0,[],0,[]
790tommyb,"Oslo, Norway",Joined in Aug 2013,75,75,14,0,[],0,[]
566tanyab,,Joined in Mar 2014,36,36,18,0,[],0,[]
truthteller_juju,"London, United Kingdom",Joined in Feb 2017,2,2,3,0,[],0,[]
srr636,"Charlottenlund, Denmark",Joined in Mar 2009,28,28,6,0,[],0,[]
rocaixeta,"London, United Kingdom",Joined in Jan 2014,39,26,26,0,[],0,[]
cdgobel,,Joined in Dec 2016,7,7,6,0,[],0,[]
wanderingwithsonia,"Porto, Portugal",Joined in Nov 2009,57,57,6,0,[],0,[]
chipty,"Panama City, Panama",Joined in Nov 2016,20,17,13,0,[],0,[]
Byonda,"Stockholm, Sweden",Joined in Aug 2008,384,116,50,0,[],0,[]
PoppiPeps,"Stockholm, Sweden",Joined in Sep 2013,2,2,1,0,[],0,[]
evelazquezu,"London, United Kingdom",Joined in Jul 2016,99,57,20,0,[],0,[]
simon1961,UK,Joined in Sep 2007,34,26,26,0,[],0,[]
lifestylecoach7002,"Palma de Mallorca, Spain",Joined in Jul 2010,97,70,12,0,[],0,[]
ourkidd,"Nottingham, United Kingdom",Joined in Sep 2010,148,138,70,0,[],0,[]
RonyNehme,"Vancouver, Canada",Joined in Feb 2010,9,5,0,0,[],0,[]
carlo941,"Oslo, Norway",Joined in Oct 2007,7,7,3,0,[],0,[]
thisisjasmine,"London, United Kingdom",Joined in Oct 2011,39,24,5,0,[],0,[]
530Gypsy,"Redding, California",Joined in Mar 2010,506,401,188,0,[],0,[]
ZiaHansen,"Park City, Utah",Joined in Sep 2015,530,121,47,1,[],0,[]
ThinTiger,"Manchester, United Kingdom",Joined in Nov 2007,107,104,54,0,[],0,[]
