storeName,reviewerUsername,ratingDate,reviewHeader,reviewText,rating
Met Cph,Finn S,"November 19, 2020","Nice place, excellent quality","Delicious grilled sandwich and cauliflower soup. Good coffee. Very nice staff, and interior. Very good value.",5
Met Cph,27askef,"December 14, 2019","Excellent coffee, breakfast and lunch!","Excellent coffee,breakfast and lunch. The seasonal menu is always amazing, and definitely seems like a lot of effort have been put into the creation of the bakery, coffee and salads. Love this place.",5
Glød,BeerFrogg,"April 7, 2019",Perfect start to the weekend,I visited Retaurant Glød recently. My friend and I arrived as the first guests and that maked me a little nervous. Why are there not any other gues ,4
Glød,Kurt c,"February 23, 2019",Fine Dinner,We were two couples on a busy evening. We had some of the seafood starters and the beef for main course. We were very pleased with the quality. Everything was super and the wine menu complemented the dinner fine. The service was very informal and friend ,4
Glød,jpflying,"December 9, 2018",Food on fire,"A restaurant where food is being cooked on a grill, is a place worth visiting. Had the pleasure on a Friday together with friends so we went all in with the menu including drinks. All food was well prepared and tasteful. Restaurant is cozy, service was good and even through there were a larger group of people at some tables, sound level was nice. It’s placed in city center but away from tourist traps. Still you need to reserve a table since locals know we’re to find it. ",4
Glød,JytteJ3,"October 2, 2018",Nice dinner,I participated in a wine tasting dinner. Everything was delicious with food and wine matching each other. Great service and nice atmosphere.,4
Glød,bilby2009,"June 24, 2018",Nice dinner,I recently visited this restaurant as it was around the corner from my hotel. Nice fresh food and good service. Nice atmosphere and it is located in a quiet street.,4
Osteria 16,AnJoch,"March 6, 2020",Set menu the italian way in Copenhagen,The restaurant Osteria 16 offers an eight course meal cooked italian style. It is really value for money and an interesting introduction to the more unknown italian kitchen.,5
Osteria 16,Ellay17,"December 3, 2019",Not for vegetarians,"Our little group (6 people) booked two months in advance. Since Osteria 16 has a set menu, I called two weeks ahead to check if it would be suitable for vegetarians and was told it would. It turned out that it was not. If you are happy to have tomatoes and lettuce or a boiled carrot with oil and vinegar, go for it. Otherwise, just pass ",3
Osteria 16,JBPurgerFrb,"November 24, 2019",Once again a great meal,"Vising Osteria 16 at Norrebro with some friends was a really nice experience. Though the price is up from 265,- to 300,- it is still one of the best places to have an Italian dinner in Copenhagen. 8 great dishes. Nice wine. And fine service. Thank you for a perfect evening :-)",5
Osteria 16,frenske66,"November 12, 2019",Excellent ,I’m not sure what to do. Should I be honest or no ,5
Osteria 16,LiavD,"October 8, 2019",The best dish you ever had! ,Me and my wife had a wonderful dinner at the osteria 16 . It was very tasty for both of us. It is was a perfect experience that we will remember for long time:),5
Osteria 16,Nobbynonads,"September 11, 2019",nice food,"Cafeteria atmosphere but that shoud not distract from the tasty dishes served by helpful and attentive staff to a  reasonable price.Very popular, probably best to book.",4
Osteria 16,Olejakob,"September 10, 2019",Tapas Pronto - molto bene,"Osteria 16 (no 2 Osteria - the other located on Vesterbro) is a great Italian dining experience. The set menu at a reasonable price is the easiest way to sit down, relax and let the tasty tapas-like dishes hit the table and your stomac ",5
Osteria 16,JBPurgerFrb,"August 26, 2019",Fantastic new Osteria 16 at Nørrebro,"We have visited Osteria 16 at Enghave many times and were pleasantly surprised to discover that Osteria 16 opened at Nørrebro.
We went there and was not disappointed.
Everything from food to wine to service was excellent.
Thank you :-)",5
The Storm Inn,Feather_Red,"November 3, 2019","Great selection of drinks, friendly staff!","This is a fantastic, cozy pub with a great selection of drinks and friendly staff who will give you excellent tips on what to do during a visit to Copenhage ",5
The Storm Inn,laur3nb,"October 1, 2019",Loved this pub!,"Slipped into this pub for a pint and a pie on a rainy night. What a delight. The interior is cozy and comforting, and there are plenty of amazing ciders on tap as well as a variety of delicious beers of all types. We ordered two steak pies and they were INCREDIBLE. Each came with potatoes and mushy peas and a delightful peppery gravy. The cost was very reasonable compared to other places. Also enjoyed the chat with the bartender who was super friendly. Definitely recommend a stop in to the Storm Inn.",5
The Storm Inn,Eelbones,"September 26, 2019",Great Pub,Was walking by and saw the beer and WC Rugby sign. Super friendly bartender and good selection of beers on tap. Watched England annihilate the USA in the early round. Cozy pub.,5
The Storm Inn,HaikuReview,"July 3, 2019",Calm in the Storm,"""British Embass ",5
