storeName,reviewerUsername,ratingDate,reviewHeader,reviewText,rating
Cafe World,Mario168,"September 2, 2015",See Holberg 19 review.,"See Holberg 19 review.   As stated, a casual and relaxed caffe, with good, reasonably priced snacks and drinks.",5
Cafe World,Dave C,"August 10, 2015","Great Little Place, Great Value!","My wife and I were a little sunburned and groggy after bus and boat tours and found this place for a snack-- one of us got the Tapas plate and the other the Mediterranean Plate-- they were just about identical. That was a bit strange but they tasted quite good, well put together with good ingredients. Price was a bargain at 580, which probably included drinks. I'd go again if I was back in Copenhagen.",4
Cafe World,Planet_13,"September 21, 2014",Delicious and welcoming,"Our party of 6 found Cafe World after our beCopenhagen adventure, a people mover tour with the office located just around the corner. The restaurant is bright, cheery and welcoming and the Danish sandwiches and cookies were top quality. Our waiter, and staff of one, was very pleasant.",5
Cafe World,ElectrickBlue,"August 9, 2013",Sensational little find,"In search of a ""typical"" local pub type eatery, we were giving up when we passed the Cafe World and thought that this will have to do. What a fortuitous encounter, generally speaking sandos or sarnies aren't our choice for lunch but the sandwiches served here are the best we have ever experienced anywhere since starting our travels in 19 ",5
PS Bar & Grill,jomD1511UI,"September 17, 2020",Not the worse,Lovely casual vibe. Staff were efficient. Seating is uncomfortable. Food was mediocre. Not worth the money.,3
PS Bar & Grill,M3189PLlorenzot,"June 23, 2020",Bad experience,The waiter refused to give me a glass of tap water despite having a table of drinks worth more than 2300.,1
PS Bar & Grill,jellyfishfish,"May 30, 2020",We wanted some shelter from the cold.,"Felt a bit touristy, which was certainly backed up by the prices. Service was slow, though it wasn't particularly busy, and it was a touch difficult to get the servers attention - my pizza bianca was great, my partner's burger pretty average.",3
PS Bar & Grill,ilovefood19995,"February 21, 2020",Cool bar and yummy food,We had a positive experience with the staff at this bar/restaurant. We went on a weekend with no booking (there were only two of us) and we were seated quickly. Our server took our orders and recommended us some dishes - the food was delicio ,4
PS Bar & Grill,LeFrequentTraveller,"January 25, 2020",Great lunch ,"Nice place for dropping in for lunch after a hard day cycling around  Copenhagen.

We shared some really tasty ham croquettes, squid and belly Pork washed down with a cold pichet of Sancerre.",5
PS Bar & Grill,knifeandglass,"January 23, 2020",Great place but loosy managed,"Place and location is great, nice concept and the food is actualy goo ",3
PS Bar & Grill,24benedicteg,"January 11, 2020","Simply ok food, but crap service. Stay clear of this one folks.",Maybe we just where unlucky. But this place has Ok food. (The chef loves salt) Ok drinks ( if you get one) CRAP service. Stay clear of this one folks. Copenhagen has so much more to offer. Im out!,1
PS Bar & Grill,915hannaw,"December 13, 2019",Very bad service,"Can't recommend, food not even average, service poor. We were thrown out due to other people arriving 45min too early. Music too loud.",1
PS Bar & Grill,TNL33,"December 9, 2019",hopeless experience (this time),I have been 3 times previously and 1 time rated before on Tripadvisor - all 3 previous visist I would rate to 4/5 but this time it was a minus 5 experien ,1
PS Bar & Grill,181Heather75,"November 30, 2019",Warm but unfriendly,"Welcomed in then with hefty prices surprised/attitude when we asked to swap a badly chipped plate. Ordered four separate chips to go with alcohol, came as one big one (but nice). 3 euros for a tiny ketchup, another 3 for spicy mayo. Chips in another chipped bowl, see photos. ",1
PS Bar & Grill,Sara Z,"November 25, 2019",Good Burger ,"REALLY good burger and and very nice staff.
The atmosphere of the place is very relaxing and cozy with dim lights to make you enjoy a night after a long day.",5
PS Bar & Grill,urmpz,"October 26, 2019",Terrible service,"It all started well. The mood was good, the place felt nice. We wanted to eat, we were told that at the moment all the tables are full, maybe later, when someone leaves. So long we ordered drinks and waited on the couch. The table was released. The waitress came and said that the table was free. We sat there for about 15 minutes and started ordering food. Then somewhere an employee came and announced that other people who were booking the table would soon come to our table and asked us to go outside and find a free table with our drinks there. Explanations and annoyance didn't help. A moment later, three beautiful women walked in and were simply directed to sit there. This place is filthy. Discriminatory. I've traveled a lot, this sh**** customer attitude I've experienced for the first time. If you are a man and go there at evenings and the tables are full, but waitress shows some empty spots, just take a movie, otherwise you just kick out the tabel.",1
