storeName,reviewerUsername,ratingDate,reviewHeader,reviewText,rating
Maple Casual Dining,918emmaf,"December 5, 2020",Exquisite,We visited Maple in Friday night and had a wonderful experience. The food was exquisite and the service was perfec ,5
Maple Casual Dining,hildurj2016,"November 19, 2020",Perfect wedding dinner,"Excellent food, drinks and service!! Me and my husband celebrated our wedding dinner at Maple, just the two of us, and it was perfect! Recommend the tasting menu with wine!",5
Maple Casual Dining,Judy B,"October 27, 2020",Beautifully Presented Food,"I visited this restaurant on my first ever visit to Copenhagen, and had booked it as a treat for my daughter who is currently studying at the university in the cit ",5
Maple Casual Dining,EldBjoern,"October 18, 2020",Very good food and very pleasant people,"We ate dinner in their restaurant. The waiter was very pleasant and did a good job presenting the food and explaining the course to us.

The food itself was presented very nicely and was delicious.",5
Maple Casual Dining,MacondoExpresss,"October 13, 2020",A lovely birthday dinner,Visited as a couple to celebrate my birthday. The staff was delightful and the food superlative! We will be back on our next trip to Copenhagen ,5
Maple Casual Dining,oso70,"October 3, 2020",Great food and excellent service,Great food and excellent service at a very reasonable price. Not an easy to find combination in Copenhagen. Highly recommended!,5
Maple Casual Dining,Toni_M_england,"September 27, 2020",5 star dining,well what can I say.. the atmosphere is lovely and the staff were attentive. The food is out of this world and the wine pairing is spot on. We had the tasting menu with wine and everything was cooked to perfection. Do not go to Copenhagen with out dining here. You won't be disappointed. We will definitely be coming back.,5
Maple Casual Dining,ekaterinak120,"September 27, 2020",Really average. Nothing special,"Really average. Nothing special with the food, even salmon which is difficult to spoil was not good. Do not recommend.",3
Maple Casual Dining,Viking77London,"September 26, 2020",Wow! I went twice in 2 weeks!,Wo ,5
Maple Casual Dining,DennisKP2014,"September 14, 2020",Went here yesterday. We had,"Went here yesterday. We had the menu with wine. The food was great, but the waiter made the evening a gourmet experince. I was sure he owned the place, showing his dedication and knowledge about the wine and food, but he was “just” a fantastic wait ",5
Maple Casual Dining,loreleo00,"September 13, 2020",The staff was very very kind.,The staff was very very kind. It was my girlfriend’s birthday and they offered a glass of Prosecco to start the dinner. Excellent food.,5
Maple Casual Dining,Jasmonet,"September 12, 2020",Five star food and service,"Five star food and service, thank you for making my birthday extra special. Must try on your visit to Copenhagen - it’s number one for a reason! P.s. get the ribs!",5
Maple Casual Dining,310miaf,"September 12, 2020","Beautiful decor, amazing food","Beautiful decor, amazing food some of the best we’ve had. Lovely cocktails. Not too expensive. Staff so so friendly. Made my boyfriend feel so special for his birthday. Couldn’t recommend enough!!",5
Maple Casual Dining,Joel P,"September 7, 2020",Wonderful meal and service,"We throughly enjoyed our meal at Maple Casual Dining. The food and ambience were outstanding  and the service was incredibly friendly yet attentive. I would highly recommend the steak, as it was sublime. If visiting Copenhagen, this should be on your list to visit.",5
Maple Casual Dining,TravelbirdsSweden,"September 3, 2020",Lovely experience,"Really nice experience. Great food, good drinks and lovely service. Warm and welcoming atmosfear. Just how a restaurant should be. 
10 points!",5
Maple Casual Dining,Edwin2019,"August 25, 2020",Excellent,"Interesting menu. Excellent cooking. Friendly staff, very professional and knowledgable. Could describe every dish in perfect english. A good reccomendation on the wine .",5
