username,location,joined,nrContributions,nrReviews,nrUpvotes,nrFollowers,followers,nrFollowing,following
LuciLou76,"London, United Kingdom",Joined in Sep 2007,14,14,5,0,[],0,[]
Ellie_117M,"London, United Kingdom",Joined in Dec 2016,30,30,5,0,[],0,[]
ilovefood19995,"Oxford, United Kingdom",Joined in Feb 2020,11,11,15,0,[],0,[]
zamby50,,Joined in Dec 2018,2,2,0,0,[],0,[]
337ollyh,,Joined in Apr 2012,1,1,5,0,[],0,[]
xenakis2014,"London, United Kingdom",Joined in Nov 2007,56,43,28,0,[],0,[]
davidhC1992NV,"Virginia Water, United Kingdom",Joined in Sep 2015,2,2,5,1,['autopilot222'],2,[]
dinesh510,"Altrincham, United Kingdom",Joined in Aug 2009,179,73,66,1,[],0,[]
Little_Rowse,"Nottingham, United Kingdom",Joined in Mar 2014,78,56,44,1,[],1,['640jeanr']
Donegaltourist,"Donegal, Ireland",Joined in Nov 2006,228,192,162,1,[],0,[]
Jmkahn,"Richmond, Virginia",Joined in Sep 2012,9,5,0,0,[],0,[]
NathanE347,,Joined in Apr 2012,1,1,3,0,[],0,[]
Lottiss,,Joined in Aug 2018,15,12,2,0,[],0,[]
Lauron1955,"Helsinki, Finland",Joined in Jun 2018,3,3,0,0,[],0,[]
Sarahhisays,,Joined in May 2019,1,1,1,0,[],0,[]
Tom_Ruby_K,"Copenhagen, Denmark",Joined in Aug 2011,6,5,1,0,[],0,[]
beckmccool,"Copenhagen, Denmark",Joined in Apr 2019,22,22,6,0,[],0,[]
gumear,"Portlethen, United Kingdom",Joined in Sep 2015,41,32,45,0,[],0,[]
Voyage708678,,Joined in May 2017,13,8,1,0,[],0,[]
pammosk,"Chappaqua, New York",Joined in Aug 2013,35,35,22,0,[],3,[]
LucyHutch,"Manchester, United Kingdom",Joined in Mar 2014,150,79,52,0,[],0,[]
Malkino,,Joined in Feb 2018,11,9,7,0,[],0,[]
AndiBasel,"Basel, Switzerland",Joined in Apr 2018,38,35,43,0,[],0,[]
SurreySEEngland,"Farnham, United Kingdom",Joined in May 2007,74,74,23,0,[],0,[]
Capnbazza,"Perth, Australia",Joined in Nov 2014,21,20,13,0,[],0,[]
CBFrey,"Oxford, United Kingdom",Joined in Jan 2019,22,10,0,0,[],0,[]
Gillyk13,,Joined in Apr 2015,1,1,0,0,[],0,[]
974kerstinm,"Milan, Italy",Joined in Aug 2014,16,16,23,0,[],1,['D7449OYrichardm']
evion124,,Joined in Nov 2018,3,3,2,0,[],0,[]
drtiram,"Copenhagen, Denmark",Joined in Apr 2016,13,13,15,0,[],0,[]
Jari_Kempele_Finland,"Gran Canaria, Spain",Joined in May 2010,102,102,40,0,[],0,[]
darrenhewitt_,"London, United Kingdom",Joined in Mar 2015,23,11,2,1,['johnnywallabe'],0,[]
26curlywurly,"London, England, United Kingdom",Joined in Jul 2012,34,28,24,1,['stephw9327'],1,['stephw9327']
Lucy3094,"Dublin, Ireland",Joined in Jun 2012,24,24,38,0,[],0,[]
stigarildh,"Akrehamn, Norway",Joined in Jun 2015,62,26,46,0,[],0,[]
alicampbel,"Glasgow, United Kingdom",Joined in Nov 2016,5,4,0,0,[],0,[]
Alexsandra71,"Hartford, Connecticut",Joined in Mar 2005,48,31,10,0,[],0,[]
louise2282,,Joined in Jun 2016,2,2,0,0,[],0,[]
romaing660,"Copenhagen, Denmark",Joined in Jul 2018,2,2,1,0,[],1,[]
ignasixavier,"Barcelona, Spain",Joined in Nov 2014,4,4,0,0,[],0,[]
Bisha1,va,Joined in Dec 2009,20,20,23,0,[],0,[]
D8838LUianm,"Glasgow, United Kingdom",Joined in Nov 2014,20,20,23,0,[],0,[]
Nastassia_nastassia,"Roedovre, Denmark",Joined in Aug 2016,31,22,29,1,[],0,[]
emilyhemilyh,"Paris, France",Joined in Aug 2016,27,23,39,0,[],0,[]
260kristym,,Joined in Aug 2018,8,5,13,0,[],0,[]
Eagle_dk,"Copenhagen, Denmark",Joined in Dec 2008,320,285,152,0,[],0,[]
EUPLWAWRK,"Warsaw, Poland",Joined in Apr 2015,102,102,29,0,[],0,[]
Witnessss,"Worcester, United Kingdom",Joined in Jan 2006,62,21,20,0,[],0,[]
Hulyakayaci,"Copenhagen, Denmark",Joined in Jan 2014,18,18,9,0,[],0,[]
Anoniem7777,The Netherlands,Joined in Dec 2012,15,15,6,0,[],0,[]
annaljeffries,"Edinburgh, United Kingdom",Joined in May 2018,1,1,0,0,[],0,[]
HKP93,,Joined in Oct 2016,47,47,14,0,[],0,[]
MathieuH467,"Ghent, Belgium",Joined in Sep 2016,14,9,3,0,[],0,[]
cmmm88,"Troyes, France",Joined in Apr 2017,7,7,3,0,[],0,[]
GeehDee,"Glasgow, United Kingdom",Joined in Jan 2012,88,87,41,0,[],0,[]
karop622,,Joined in Feb 2016,23,19,3,0,[],0,[]
koend654,"Texel, The Netherlands",Joined in Apr 2018,4,4,1,0,[],0,[]
BenLG23,"London, United Kingdom",Joined in Jun 2013,69,65,25,0,[],0,[]
dayaya,"Copenhagen, Denmark",Joined in Apr 2009,128,48,22,0,[],0,[]
990magnusp,"Lund, Sweden",Joined in Jul 2015,11,9,2,0,[],7,[]
KommandoerPjuskepels,"Copenhagen, Denmark",Joined in Mar 2018,54,27,2,0,[],0,[]
Hesyversen,"Fredrikstad, Norway",Joined in May 2011,164,101,40,11,[],3,[]
SimonL3514,,Joined in Nov 2012,3,3,0,0,[],0,[]
mariaamariaamariaa,"Copenhagen, Denmark",Joined in Aug 2019,4,3,0,0,[],0,[]
143stephanej,"Edinburgh, United Kingdom",Joined in Sep 2012,85,51,57,0,[],0,[]
MrsH1983,"Colorado Springs, CO",Joined in Aug 2010,120,120,30,0,[],0,[]
Danielvdw,,Joined in Mar 2008,111,98,37,0,[],0,[]
kanonkop,"Glasgow, United Kingdom",Joined in Jan 2011,4,4,3,0,[],0,[]
12borjal,,Joined in Jun 2014,14,8,10,0,[],0,[]
jona_kris,,Joined in Oct 2013,4,2,2,0,[],0,[]
Ethee,"Nice, France",Joined in Aug 2012,153,153,43,0,[],0,[]
Sarawin,"Fairfax, California",Joined in Mar 2003,10,10,4,0,[],0,[]
judy32999,"Sacramento, California",Joined in Jan 2011,9,9,4,0,[],0,[]
781kikiq,,Joined in Dec 2013,82,78,16,0,[],0,[]
LauraLeeTraveler,"Des Plaines, Illinois",Joined in Jul 2016,150,121,66,0,[],0,[]
lftopp,"Copenhagen, Denmark",Joined in Jul 2017,2,2,2,0,[],0,[]
keithe2017,"London, United Kingdom",Joined in Jan 2017,165,162,29,0,[],0,[]
912janel,"Kotka, Finland",Joined in Oct 2015,54,35,46,0,[],0,[]
SCaboto,Europe,Joined in Jul 2012,346,211,86,0,[],0,[]
mamaannalinchen,"Mannheim, Germany",Joined in Jul 2014,79,74,22,1,[],0,[]
WarwickK7,,Joined in Nov 2012,2,1,0,0,[],0,[]
M_Schollert,"Hokksund, Norway",Joined in Jun 2014,49,48,12,0,[],0,[]
Kirsword,United Kingdom,Joined in Sep 2010,226,120,74,0,[],0,[]
471clifft,"Solihull, United Kingdom",Joined in Aug 2013,20,20,6,0,[],0,[]
thekegler,"Clearwater, Florida",Joined in Mar 2010,133,91,69,0,[],0,[]
JornJensen-McGregor,"Copenhagen, Denmark",Joined in Jul 2013,12,12,8,0,[],0,[]
Petewbronx,"Frederiksberg, Denmark",Joined in Nov 2011,43,37,35,0,[],0,[]
chimru,,Joined in Oct 2018,58,29,6,0,[],0,[]
986millep,,Joined in Jul 2015,29,29,11,0,[],1,['BusinessInsider']
Cikap,"Oak Lawn, Illinois",Joined in Jan 2016,1,1,1,0,[],0,[]
hrefnat2014,"Arico, Spain",Joined in Oct 2007,2,2,2,0,[],0,[]
mrsamfar,"Bath, United Kingdom",Joined in Aug 2010,167,162,72,1,[],0,[]
fridolinb695,"Singapore, Singapore",Joined in May 2015,66,63,23,0,[],0,[]
759erikn,"Houston, Texas",Joined in Nov 2014,170,50,12,0,[],0,[]
singnjones,"Orlando, Florida",Joined in May 2014,16,13,4,0,[],0,[]
ivoz350,"Kladno, Czech Republic",Joined in Jul 2017,54,50,18,0,[],0,[]
pete2dmax,"Uppsala, Sweden",Joined in Jul 2015,6,4,0,0,[],0,[]
donq981,United Kingdom,Joined in Jan 2015,15,14,1,0,[],0,[]
geoffreys131,,Joined in May 2015,65,63,39,0,[],0,[]
gunnare132,"Bomlo Municipality, Norway",Joined in Jan 2015,32,23,7,0,[],0,[]
jwking9,"Richmond, Virginia",Joined in Aug 2015,38,21,6,0,[],0,[]
