storeName,storeAddress,avgRating,nrReviews,priceCategory,CousineType,all_ranks,all_ratings
Maple Casual Dining,"Vesterbrogade 24, Copenhagen 1620 Denmark",5.0,237,$$ - $$$,"['International', 'European', 'Vegetarian Friendly']","['#1 of 95 International in Copenhagen', '#1 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 5.0), ('Value', 4.5)]"
Keyser Social,"Frederiksborggade 20d, Copenhagen 1360 Denmark",5.0,125,$$$$,"['Asian', 'Thai', 'Vegetarian Friendly']","['#2 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 5.0), ('Value', 5.0)]"
Restaurant Krebsegaarden,"Studiestraede 17, Copenhagen 1455 Denmark",5.0,"1,403",$$$$,"['European', 'Scandinavian', 'Danish']","['#2 of 840 European in Copenhagen', '#3 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 5.0), ('Value', 4.5), ('Atmosphere', 4.5)]"
The Olive Kitchen & Bar,"Noerregade 22, Copenhagen 1165 Denmark",5.0,"2,413",$$ - $$$,"['International', 'European', 'Gluten Free Options']","['#4 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 5.0), ('Value', 4.5)]"
Ark,"Noerre Farimagsgade 63, Copenhagen 1364 Denmark",5.0,277,$$ - $$$,"['European', 'Contemporary', 'Healthy']","['#5 of 840 European in Copenhagen', '#5 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 5.0), ('Value', 4.5)]"
Madbaren Marmorkirken,"Store Kongensgade 77, Copenhagen 1264 Denmark",5.0,249,$,"['Pizza', 'European', 'Vegetarian Friendly']","['#6 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 5.0), ('Value', 4.5)]"
Smagsloeget (Vesterbro),"Vesterbrogade 19 Kobenhavn V, Copenhagen 1620 Denmark",5.0,466,$,"['Fast Food', 'International', 'Fusion']","['#2 of 149 Fast Food in Copenhagen', '#7 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 4.5), ('Value', 4.5)]"
The Shrimp,"Sankt Annae Plads 20, Copenhagen 1250 Denmark",5.0,159,$$ - $$$,"['Seafood', 'International', 'Vegetarian Friendly']","['#8 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 5.0), ('Value', 5.0)]"
The Midwestern Diner,"Gyldenloevesgade 4, Copenhagen 1369 Denmark",5.0,210,$$ - $$$,"['American', 'Diner', 'Vegetarian Friendly']",[],"[('Food', 5.0), ('Service', 5.0), ('Value', 5.0)]"
Zahida,"Romersagde 20, Copenhagen 1362 Denmark",5.0,"1,247",$$ - $$$,"['Indian', 'Pakistani', 'Vegetarian Friendly']",[],"[('Food', 5.0), ('Service', 5.0), ('Value', 4.5)]"
Pizzeria Mamemi & Wine Bar,"Mysundegade 28, Copenhagen 1668 Denmark",5.0,"1,126",$,"['Italian', 'Pizza', 'Mediterranean']","['#1 of 238 Italian in Copenhagen', '#11 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 5.0), ('Value', 4.5)]"
Soelleroed Kro,"Soelleroedvej 35, Copenhagen 2840 Denmark",5.0,373,$$$$,"['French', 'International', 'Danish']","['#1 of 96 French in Copenhagen', '#12 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 5.0), ('Value', 4.5), ('Atmosphere', 5.0)]"
Punk Royale,"Dronningens Tvaergade 10, Copenhagen 1302 Denmark",5.0,128,$$$$,"['European', 'Scandinavian']","['#13 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 4.5), ('Value', 5.0)]"
Limone Piazza,"Kejsergade 2, Copenhagen 1155 Denmark",5.0,149,$$ - $$$,"['Italian', 'Mediterranean', 'European']","['#14 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Jurfood,"Oresundsvej 150D, Copenhagen 2300 Denmark",5.0,266,$$ - $$$,"['Cafe', 'European', 'Danish']","['#15 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 5.0), ('Value', 4.5)]"
The Pescatarian,"Amaliegade 49 On the corner of Amaliegade & Esplanaden, Copenhagen 1256 Denmark",5.0,357,$$$$,"['Seafood', 'European', 'Healthy']","['#2 of 82 Seafood in Copenhagen', '#16 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 5.0), ('Value', 4.5)]"
Hey Darling,"Oster Farimagsgade 24, Copenhagen 2100 Denmark",5.0,126,$$ - $$$,"['American', 'International', 'European']","['#2 of 112 American in Copenhagen', '#17 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 4.5), ('Value', 4.5)]"
Alchemist,"Refshalevej 173c, Copenhagen 1432 Denmark",5.0,103,$$$$,"['International', 'European', 'Contemporary']","['#18 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 5.0), ('Value', 4.5)]"
Marv & Ben,"Snaregade 4, Copenhagen 1205 Denmark",4.5,777,$$$$,"['European', 'Scandinavian', 'Danish']","['#14 of 840 European in Copenhagen', '#19 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 5.0), ('Value', 4.5)]"
