username,location,joined,nrContributions,nrReviews,nrUpvotes,nrFollowers,followers,nrFollowing,following
406geirm,"Molde, Norway",Joined in Sep 2007,11,11,3,3,"['jorodda', '726tineb', 'ninab338']",5,"['726tineb', 'ninab338', 'geirs2019', 'viggoe2018', 'janarildh2019']"
SilverNomad04,"Stafford, United Kingdom",Joined in May 2012,833,407,182,0,[],0,[]
996gu_mundurb,"Milan, Italy",Joined in Apr 2017,2,2,0,0,[],0,[]
wildlife1Cheshire,"Stretton, United Kingdom",Joined in Jan 2010,72,49,46,0,[],0,[]
Kilopound,"Stonehaven, United Kingdom",Joined in Feb 2012,22,22,8,0,[],0,[]
SueSwede,Sweden,Joined in Nov 2005,114,39,17,0,[],0,[]
lisanewyork42,"New York City, New York",Joined in Jul 2012,164,141,111,0,[],0,[]
KSPILLAI,"Manama, Bahrain",Joined in Jul 2009,615,546,171,1,['ktanzi'],1,['aarongeorge777']
LilianO,"Zurich, Switzerland",Joined in Oct 2011,21,20,10,0,[],0,[]
MarkN3218,,Joined in May 2014,17,16,3,0,[],0,[]
halbgoode,"London, United Kingdom",Joined in Mar 2018,13,8,9,0,[],0,[]
yessiegia,"Oslo, Norway",Joined in Jun 2016,30,21,8,0,[],0,[]
thomaskR1603JB,"Ringe, Denmark",Joined in Mar 2008,3,2,1,0,[],0,[]
outandabout99,"Belford, United Kingdom",Joined in May 2009,127,124,82,0,[],0,[]
779andrak,,Joined in Dec 2012,2,2,3,0,[],1,['Kamka00']
691rianner,Eindhoven,Joined in Oct 2013,48,38,21,0,[],0,[]
GeorgMikkel,,Joined in May 2019,4,4,1,0,[],0,[]
Ashurbanipal,United States,Joined in Aug 2012,98,73,46,1,['W9325QMsusant'],1,['W9325QMsusant']
Henrich95,,Joined in Jun 2016,14,4,3,0,[],0,[]
TravelingNatalie,San Francisco,Joined in Jan 2010,25,25,5,0,[],0,[]
shingubi,"Seoul, South Korea",Joined in Oct 2012,93,58,16,0,[],0,[]
ChaoSev,"Manila, Philippines",Joined in Jan 2012,51,47,47,1,['mariejudithe2018'],0,[]
zuark,"Aalborg, Denmark",Joined in Jul 2008,57,48,15,1,['deen76'],0,[]
Wendys_Travel_Tips,"Panama City Beach, Florida",Joined in Feb 2008,254,110,58,0,[],0,[]
451alexandrah,"Manchester, United Kingdom",Joined in Jul 2009,6,3,2,0,[],0,[]
Rebfos,"Copenhagen, Denmark",Joined in Dec 2009,10,4,5,0,[],0,[]
sufiansufi,,Joined in May 2019,1,1,1,0,[],0,[]
JunGaLizaM,,Joined in Jun 2017,2,2,1,0,[],0,[]
valenastudio,"Copenhagen, Denmark",Joined in Oct 2017,1,1,0,0,[],0,[]
Hefsgaard,"Vordingborg, Denmark",Joined in Feb 2008,9,9,7,0,[],0,[]
lonee215,,Joined in Jul 2016,1,1,0,0,[],0,[]
simo181n,"Copenhagen, Denmark",Joined in Jul 2015,9,9,1,0,[],0,[]
Supermand100,,Joined in Dec 2019,1,1,0,0,[],0,[]
165arnari,"Reykjavik, Iceland",Joined in May 2015,3,3,1,0,[],0,[]
francisugo,"Lagos, Nigeria",Joined in Jan 2016,13,13,4,0,[],0,[]
168jhyn,"Canton of Bern, Switzerland",Joined in Aug 2015,2,2,1,0,[],0,[]
Deep750,,Joined in Jul 2012,12,12,3,0,[],0,[]
AnastasiaGian,,Joined in Aug 2017,34,18,35,0,[],0,[]
taticleargett,"Frederiksberg, Denmark",Joined in Mar 2019,2,2,1,0,[],0,[]
TanerV1,"Izmir, Turkey",Joined in Nov 2007,1,1,1,0,[],0,[]
Sigurddahle,,Joined in Jan 2019,1,1,0,0,[],0,[]
33Rosie33,"Cambridge, United Kingdom",Joined in Sep 2018,4,4,1,0,[],0,[]
yannism651,"Oslo, Norway",Joined in Aug 2017,3,3,0,0,[],0,[]
727trinet,"Frederiksberg, Denmark",Joined in Jun 2014,155,88,50,0,[],0,[]
sarahfayerodgers,England,Joined in Mar 2007,16,15,10,0,[],4,"['tinajB4897BS', '632ellenr', 'OMKY15', 'GaryF615']"
TiinaVirtanen,"Malmö, Sweden",Joined in Aug 2007,48,34,16,2,"['ChristianAndMariaO', '751inkat']",0,[]
PlasticPenguin,,Joined in Sep 2015,15,14,1,0,[],0,[]
757maram,,Joined in Oct 2014,10,3,1,0,[],0,[]
klarisa_b,"Lille Skensved, Denmark",Joined in Jan 2016,3,3,0,0,[],0,[]
94camillar,,Joined in Jan 2015,10,6,0,0,[],0,[]
Gereonz11,"Copenhagen, Denmark",Joined in Jun 2008,11,11,5,1,['Nardello82'],3,"['Nardello82', 'AndreCdC', 'mortens831']"
Marcobrando,"Roma, Italia",Joined in Feb 2009,199,182,128,0,[],0,[]
MFTL,"London, United Kingdom",Joined in Sep 2009,25,21,8,0,[],0,[]
Slw2,,Joined in Jul 2009,1,1,1,0,[],0,[]
kellyg73,"Copenhagen, Denmark",Joined in Jul 2009,8,8,1,0,[],0,[]
07Marie_cscot,"Dundee, United Kingdom",Joined in Mar 2011,76,24,22,0,[],0,[]
