username,location,joined,nrContributions,nrReviews,nrUpvotes,nrFollowers,followers,nrFollowing,following
918emmaf,"Copenhagen, Denmark",Joined in Jul 2014,119,29,8,0,[],1,['JoeC5359']
hildurj2016,"Copenhagen, Denmark",Joined in Feb 2016,22,10,2,0,[],0,[]
EldBjoern,"Lucerne, Switzerland",Joined in Jul 2017,72,61,14,0,[],0,[]
oso70,"Copenhagen, Denmark",Joined in May 2007,461,107,35,2,"['PaolaKontiza', 'T763XFmichaell']",0,[]
Toni_M_england,,Joined in May 2019,2,2,0,0,[],0,[]
ekaterinak120,"Jakarta, Indonesia",Joined in Jul 2013,10,9,1,0,[],0,[]
Viking77London,London,Joined in May 2010,606,175,129,0,[],0,[]
DennisKP2014,"Kastrup, Denmark",Joined in May 2013,16,16,10,0,[],0,[]
loreleo00,"Florence, Italy",Joined in Dec 2016,7,5,4,0,[],0,[]
Jasmonet,"Leeds, United Kingdom",Joined in Aug 2012,3,3,3,0,[],0,[]
TravelbirdsSweden,,Joined in Apr 2017,11,10,1,0,[],0,[]
Edwin2019,"Elst, The Netherlands",Joined in Oct 2018,6,6,1,0,[],0,[]
MsAalborg,"Aalborg, Denmark",Joined in Apr 2011,137,107,24,0,[],0,[]
ItsVicky89,,Joined in Jan 2020,5,3,0,0,[],0,[]
gu_r_nr,"Reykjavik, Iceland",Joined in May 2009,12,12,25,2,"['bjarghildurf', '840ingag']",0,[]
linnhagen,,Joined in Nov 2012,4,3,6,0,[],0,[]
ascaniopacelli,"Rome, Italy",Joined in Jun 2014,19,10,9,0,[],0,[]
Tvlwkdz,"Wiesbaden, Germany",Joined in Jun 2016,83,83,15,1,['811hemanta'],0,[]
santiagom924,"Blaby, United Kingdom",Joined in Jul 2007,10,6,4,0,[],0,[]
427jussik,"Helsinki, Finland",Joined in Nov 2014,25,9,2,0,[],0,[]
AnneliN34,"Trondheim, Norway",Joined in Apr 2007,80,57,33,0,[],0,[]
teroy201,,Joined in Dec 2017,1,1,0,0,[],0,[]
teddy561112,"Alesund, Norway",Joined in Jul 2020,1,1,0,0,[],0,[]
