storeName,reviewerUsername,ratingDate,reviewHeader,reviewText,rating
Bear Slice,Steve W,"November 23, 2019",Coffee and Cake,"This place was very nice the staff very friendly and polite and helpful we had a good time and spoke to some staff  about 
where else to visit in Copenhagen they were reassuring",5
Bear Slice,funflowers,"October 31, 2018",AMAZING!,"If you are into paper thin pizza than try something new! This is for lovers of crisp, crackling outer crust with a softer, but fluffy baked dough. I always order the potato pizza and then drizzle my own toppings on...yum, like chili oil. So tasty. I have heard the Queen of Denmark gets pizza from this very spot!!!",5
Bear Slice,526tobiasl,"March 21, 2018",Best pizzaslices in Copenhagen,I have been there a lot the last many years. I keep coming back because the slices are the best in town and because the service is good. If you are in doubt about what slice you want you can always ask for recommendations,5
Bear Slice,ppa10,"May 22, 2017",Cheap slices of pizza,Really cheap slices of pizza. There several possibilities to choose. For the price I payed it was quite acceptable,4
Kahyt & Kaffe,Norwegian1975,"April 5, 2020",Awesome spot for a Break.,Awesome spot for a Break on your walk or just a Break while wanting a beer or a snack. Gotta love this place.,4
Kahyt & Kaffe,Jane S,"September 12, 2018",I’m in love!,"A place you just have to experience - you’ll love it.
Bring your friends and family or come alone and meet new fantastic people.",5
Kahyt & Kaffe,209ren_b,"July 12, 2017",Great coffee,"Very small but cosy cafe.  If you are looking for Danish 'hygge' you will find hygge here.  

The coffee is great at they serve some homemade bread and croissants.",5
Restaurant Sanchez Copenhagen,JBPurgerFrb,"November 14, 2020",Great brunch,"This is the first time to visit Restaurant Sanchez Copenhagen. We chose to go for the brunch menu of 3 dishes. All 3 dishes were great. The Mexican flavors really came through in the dishes. Service was OK, but not more ...",4
Restaurant Sanchez Copenhagen,Anne Marie L,"October 14, 2020",Creative elements but feels mean overall,A very limited set of choices: either a rather expensive tasting menu or 5 very small snack-like dishes. The staff have the gourmet restaurant mannerism of presenting each plate but not the common sense of warning customers that the main- course priced tacos are in fact a starter size. Interesting salsas but otherwise really minimal. Mean a ,2
Restaurant Sanchez Copenhagen,mikkor849,"September 19, 2020",Best Mexican I’ve ever been,I highly recommend their tasting menu which consists of 5 plates chosen by the kitchen. Flavourful experience and don’t be alarmed by word spicy/Mexican. They’ll happily make milder versions.,5
Restaurant Sanchez Copenhagen,girlswhoeat2020,"September 9, 2020",Delicious & Fresh Food ,"We tried the five course menu. Delicious, fresh and tasty on the whole palette. Spicy, sweet, sour and salty. What’s not to like?",4
Restaurant Sanchez Copenhagen,cbjht,"August 31, 2020","Delicious and extraordinary Mexican cuisine,","We went for the 5 course menu set by the chef., and that was a good choice. We started with a summer soup based on an onion broth with corn and tomatoes which in our opinion lacked taste. It was followed by a crispy empanada with cod topped with fresh cheese and cabbage. Then a beautiful tasty ceviche with octopus, shrimps and mussels. We had to finish the juice with our spoons. A tostado with seaweed was excellent and surprising. Finished with a tortilla with beef and potatoe dices. We might not have got it all right along the way but everything was well explained. Good cocktails. The room is very airy and cosy, quiet music in the background. A strong recommendation and we are looking forward to coming back. ",4
Restaurant Sanchez Copenhagen,LilWagner,"August 23, 2020",Rude server,"Went for brunch this weekend, used to love their brunch but they changed the menu so that you can only order “brunch menu” and not individual dishes, plus they removed my favourite dish. Anyway it would have all been fine but we had the rudest server (tall light brown hair ?Danish guy with a moustache) who was completely unfriendly, intentionally difficult and inflexible. Plus he kept ignoring my attempts to get his attention. (The woman and other younger guy working were both nice, but unfortunately we got Mr Grumpy). Will not be going back- overpriced and bad service are not a fun mix. You can find me at Hija de Sanchez enjoying delicious reasonably priced food and friendly service ",3
Restaurant Sanchez Copenhagen,Asger P,"August 6, 2020",Dyrt,"Lækker, men meget dyrt og små portioner

Nice food, but very expensive and the portions were really small",2
Restaurant Sanchez Copenhagen,Christian andre... k,"March 6, 2020",Stay away and spend your hard earned $$$ elsewhere!,Pretentious and over-hyped. Stay clear of this local scam restauran ,1
Restaurant Sanchez Copenhagen,Smlindholm,"January 22, 2020","If you are in go Copenhagen,","If you are in go Copenhagen, go there, otherwise you have not been to Copenhagen🤗👍 thank you 🙏 Sanchez",5
Restaurant Sanchez Copenhagen,Patricia3712,"January 19, 2020",Great brunch,We really enjoyed the huevas rancheros for brunch. Very casual relaxed atmosphere Gaithersburg friendly service,5
